"CODIGO","DESCRIPCION"
"P549","P00-P96,P50-P61,P54,,,""Hemorragia neonatal, no especificada"",3"
"O084","O00-O9A,O00-O08,O08,,,""Insuficiencia renal consecutiva al aborto, al embarazo ectópico y al embarazo molar"",3"
"O085","O00-O9A,O00-O08,O08,,,""Trastorno metabólico consecutivo al aborto, al embarazo ectópico y al embarazo molar"",3"
"O086","O00-O9A,O00-O08,O08,,,""Lesión de órganos o tejidos de la pelvis consecutivo al aborto, al embarazo ectópico y al embarazo molar"",3"
"O087","O00-O9A,O00-O08,O08,,,""Otras complicaciones venosas consecutivas al aborto, al embarazo ectópico y al embarazo molar"",3"
"O088","O00-O9A,O00-O08,O08,,,""Otras complicaciones consecutivas al aborto, al embarazo ectópico y al embarazo molar"",3"
"O089","O00-O9A,O00-O08,O08,,,""Complicación no especificada consecutiva al aborto, al embarazo ectópico y al embarazo molar"",3"
"O071","O00-O9A,O00-O08,O07,,,""Falla de la inducción médica del aborto, complicado por hemorragia excesiva o tardía"",3"
"O072","O00-O9A,O00-O08,O07,,,""Falla de la inducción médica del aborto, complicado por embolia"",3"
"O073","O00-O9A,O00-O08,O07,,,""Falla de la inducción médica del aborto, con otras complicaciones y las no especificadas"",3"
"O074","O00-O9A,O00-O08,O07,,,""Falla de la inducción médica del aborto, sin complicación"",3"
"O075","O00-O9A,O00-O08,O07,,,""Otros intentos fallidos de aborto y los no especificados, complicados por infección genital y pelviana"",3"
"O076","O00-O9A,O00-O08,O07,,,""Otros intentos fallidos de aborto y los no especificados, complicados por hemorragia excesiva o tardía"",3"
"O077","O00-O9A,O00-O08,O07,,,""Otros intentos fallidos de aborto y los no especificados, complicados por embolia"",3"
"O078","O00-O9A,O00-O08,O07,,,""Otros intentos fallidos de aborto y los no especificados, con otras complicaciones y las no especificadas"",3"
"O079","O00-O9A,O00-O08,O07,,,""Otros intentos fallidos de aborto y los no especificados, sin complicación"",3"
"O152","O00-O9A,O10-O16,O15,,,Eclampsia en el puerperio,3"
"O159","O00-O9A,O10-O16,O15,,,""Eclampsia, en período no especificado"",3"
"O291","O00-O9A,O20-O29,O29,,,Complicaciones cardíacas de la anestesia administrada durante el embarazo,3"
"O292","O00-O9A,O20-O29,O29,,,Complicaciones del sistema nervioso central debidas a la anestesia administrada durante el embarazo,3"
"O293","O00-O9A,O20-O29,O29,,,Reacción tóxica a la anestesia local administrada durante el embarazo,3"
"O294","O00-O9A,O20-O29,O29,,,Cefalalgia inducida por la anestesia espinal o epidural administradas durante el embarazo,3"
"O295","O00-O9A,O20-O29,O29,,,Otras complicaciones de la anestesia espinal o epidural administradas durante el embarazo,3"
"O296","O00-O9A,O20-O29,O29,,,Falla o dificultad en la intubación durante el embarazo,3"
"O298","O00-O9A,O20-O29,O29,,,Otras complicaciones de la anestesia administrada durante el embarazo,3"
"O299","O00-O9A,O20-O29,O29,,,Complicación no especificada de la anestesia administrada durante el embarazo,3"
"O285","O00-O9A,O20-O29,O28,,,Hallazgo cromosómico o genético anormal en el examen prenatal de la madre,3"
"O288","O00-O9A,O20-O29,O28,,,Otros hallazgos anormales en el examen prenatal de la madre,3"
"O289","O00-O9A,O20-O29,O28,,,Hallazgo anormal no especificado en el examen prenatal de la madre,3"
"S396","S00-T88,S30-S39,S39,,,Traumatismo de órgano(s) intraabdominal(es) con órgano(s) pélvico(s),3"
"S397","S00-T88,S30-S39,S39,,,""Otros traumatismos múltiples del abdomen, de la región lumbosacra y de la pelvis"",3"
"S398","S00-T88,S30-S39,S39,,,""Otros traumatismos especificados del abdomen, de la región lumbosacra y de la pelvis"",3"
"S399","S00-T88,S30-S39,S39,,,""Traumatismo no especificado del abdomen, de la región lumbosacra y de la pelvis"",3"
"D360","C00-D49,D10-D36,D36,,,Tumor benigno de los ganglios linfáticos,3"
"D361","C00-D49,D10-D36,D36,,,Tumor benigno de los nervios periféricos y del sistema nervioso autónomo,3"
"D367","C00-D49,D10-D36,D36,,,Tumor benigno de otros sitios especificados,3"
"D369","C00-D49,D10-D36,D36,,,Tumor benigno de sitio no especificado,3"
"D350","C00-D49,D10-D36,D35,,,Tumor benigno de la glándula suprarrenal,3"
"D351","C00-D49,D10-D36,D35,,,Tumor benigno de la glándula paratiroides,3"
"D352","C00-D49,D10-D36,D35,,,Tumor benigno de la hipófisis,3"
"D353","C00-D49,D10-D36,D35,,,Tumor benigno del conducto craneofaríngeo,3"
"D354","C00-D49,D10-D36,D35,,,Tumor benigno de la glándula pineal,3"
"D355","C00-D49,D10-D36,D35,,,Tumor benigno del cuerpo carotídeo,3"
"D356","C00-D49,D10-D36,D35,,,Tumor benigno del cuerpo aórtico y de otros cuerpos cromafines,3"
"D357","C00-D49,D10-D36,D35,,,Tumor benigno de otras glándulas endocrinas especificadas,3"
"D358","C00-D49,D10-D36,D35,,,Tumor benigno pluriglandular,3"
"D359","C00-D49,D10-D36,D35,,,Tumor benigno de glándula endocrina no especificada,3"
"N980","N00-N99,N80-N98,N98,,,Infección asociada con inseminación artificial,3"
"N981","N00-N99,N80-N98,N98,,,Hiperestimulación de ovarios,3"
"N982","N00-N99,N80-N98,N98,,,Complicaciones en el intento de introducción del huevo fecundado en la fertilización in vitro,3"
"N983","N00-N99,N80-N98,N98,,,Complicaciones en el intento de introducción del embrión en la transferencia de embriones,3"
"N970","N00-N99,N80-N98,N97,,,Infertilidad femenina asociada con falta de ovulación,3"
"N971","N00-N99,N80-N98,N97,,,Infertilidad femenina de origen tubárico,3"
"N972","N00-N99,N80-N98,N97,,,Infertilidad femenina de origen uterino,3"
"N973","N00-N99,N80-N98,N97,,,Infertilidad femenina de origen cervical,3"
"N974","N00-N99,N80-N98,N97,,,Infertilidad femenina asociada con factores masculinos,3"
"N978","N00-N99,N80-N98,N97,,,Infertilidad femenina de otro origen,3"
"N979","N00-N99,N80-N98,N97,,,""Infertilidad femenina, no especificada"",3"
"N950","N00-N99,N80-N98,N95,,,Hemorragia postmenopáusica,3"
"N951","N00-N99,N80-N98,N95,,,Estados menopáusicos y climatéricos femeninos,3"
"N952","N00-N99,N80-N98,N95,,,Vaginitis atrófica postmenopáusica,3"
"N953","N00-N99,N80-N98,N95,,,Estados asociados con menopausia artificial,3"
"N958","N00-N99,N80-N98,N95,,,Otros trastornos menopáusicos y perimenopáusicos especificados,3"
"N940","N00-N99,N80-N98,N94,,,Dolor intermenstrual,3"
"N941","N00-N99,N80-N98,N94,,,Dispareunia,3"
"N942","N00-N99,N80-N98,N94,,,Vaginismo,3"
"N943","N00-N99,N80-N98,N94,,,Síndrome de tensión premenstrual,3"
"N944","N00-N99,N80-N98,N94,,,Dismenorrea primaria,3"
"N945","N00-N99,N80-N98,N94,,,Dismenorrea secundaria,3"
"N946","N00-N99,N80-N98,N94,,,""Dismenorrea, no especificada"",3"
"N948","N00-N99,N80-N98,N94,,,Otras afecciones especificadas asociadas con los órganos genitales femeninos y el ciclo menstrual,3"
"N949","N00-N99,N80-N98,N94,,,Afecciones no especificadas asociadas con los órganos genitales femeninos y el ciclo menstrual,3"
"N930","N00-N99,N80-N98,N93,,,Hemorragia postcoito y postcontacto,3"
"N938","N00-N99,N80-N98,N93,,,Otras hemorragias uterinas o vaginales anormales especificadas,3"
"N939","N00-N99,N80-N98,N93,,,""Hemorragia vaginal y uterina anormal, no especificada"",3"
"N920","N00-N99,N80-N98,N92,,,Menstruación excesiva y frecuente con ciclo regular,3"
"N921","N00-N99,N80-N98,N92,,,Menstruación excesiva y frecuente con ciclo irregular,3"
"N922","N00-N99,N80-N98,N92,,,Menstruación excesiva en la pubertad,3"
"N923","N00-N99,N80-N98,N92,,,Hemorragia por ovulación,3"
"N924","N00-N99,N80-N98,N92,,,Hemorragia excesiva en período premenopáusico,3"
"N925","N00-N99,N80-N98,N92,,,Otras menstruaciones irregulares especificadas,3"
"N926","N00-N99,N80-N98,N92,,,""Menstruación irregular, no especificada"",3"
"B480","A00-B99,B35-B49,B48,,,Lobomicosis,3"
"B481","A00-B99,B35-B49,B48,,,Rinosporidiosis,3"
"B482","A00-B99,B35-B49,B48,,,Alesqueriasis,3"
"B483","A00-B99,B35-B49,B48,,,Geotricosis,3"
"B484","A00-B99,B35-B49,B48,,,Penicilosis,3"
"B487","A00-B99,B35-B49,B48,,,Micosis oportunistas,3"
"B488","A00-B99,B35-B49,B48,,,Otras micosis especificadas,3"
"B470","A00-B99,B35-B49,B47,,,Eumicetoma,3"
"B471","A00-B99,B35-B49,B47,,,Actinomicetoma,3"
"B479","A00-B99,B35-B49,B47,,,""Micetoma, no especificado"",3"
"B460","A00-B99,B35-B49,B46,,,Mucormicosis pulmonar,3"
"B461","A00-B99,B35-B49,B46,,,Mucormicosis rinocerebral,3"
"B462","A00-B99,B35-B49,B46,,,Mucormicosis gastrointestinal,3"
"B463","A00-B99,B35-B49,B46,,,Mucormicosis cutánea,3"
"B464","A00-B99,B35-B49,B46,,,Mucormicosis diseminada,3"
"B450","A00-B99,B35-B49,B45,,,Criptococosis pulmonar,3"
"B451","A00-B99,B35-B49,B45,,,Criptococosis cerebral,3"
"B452","A00-B99,B35-B49,B45,,,Criptococosis cutánea,3"
"B453","A00-B99,B35-B49,B45,,,Criptococosis ósea,3"
"B457","A00-B99,B35-B49,B45,,,Criptococosis diseminada,3"
"B458","A00-B99,B35-B49,B45,,,Otras formas de criptococosis,3"
"B459","A00-B99,B35-B49,B45,,,""Criptococosis, no especificada"",3"
"B600","A00-B99,B50-B64,B60,,,Babesiosis,3"
"B601","A00-B99,B50-B64,B60,,,Acantamebiasis,3"
"B602","A00-B99,B50-B64,B60,,,Naegleriasis,3"
"B608","A00-B99,B50-B64,B60,,,Otras enfermedades especificadas debidas a protozarios,3"
"B830","A00-B99,B65-B83,B83,,,Larva migrans visceral,3"
"B831","A00-B99,B65-B83,B83,,,Gnatostomiasis,3"
"B832","A00-B99,B65-B83,B83,,,Angioestrongiliasis debida a Parastrongylus cantonensis,3"
"B833","A00-B99,B65-B83,B83,,,Singamiasis,3"
"B834","A00-B99,B65-B83,B83,,,Hirudiniasis interna,3"
"B838","A00-B99,B65-B83,B83,,,Otras helmintiasis especificadas,3"
"B820","A00-B99,B65-B83,B82,,,""Helmintiasis intestinal, sin otra especificación"",3"
"B829","A00-B99,B65-B83,B82,,,""Parasitosis intestinal, sin otra especificación"",3"
"B810","A00-B99,B65-B83,B81,,,Anisaquiasis,3"
"B811","A00-B99,B65-B83,B81,,,Capilariasis intestinal,3"
"B812","A00-B99,B65-B83,B81,,,Tricoestrongiliasis,3"
"B813","A00-B99,B65-B83,B81,,,Angioestrongiliasis intestinal,3"
"B814","A00-B99,B65-B83,B81,,,Helmintiasis intestinal mixta,3"
"B818","A00-B99,B65-B83,B81,,,Otras helmintiasis intestinales especificadas,3"
"B780","A00-B99,B65-B83,B78,,,Estrongiloidiasis intestinal,3"
"B781","A00-B99,B65-B83,B78,,,Estrongiloidiasis cutánea,3"
"B787","A00-B99,B65-B83,B78,,,Estrongiloidiasis diseminada,3"
"B789","A00-B99,B65-B83,B78,,,""Estrongiloidiasis, no especificada"",3"
"L750","L00-L99,L60-L75,L75,,,Bromhidrosis,3"
"L751","L00-L99,L60-L75,L75,,,Cromhidrosis,3"
"L752","L00-L99,L60-L75,L75,,,Miliaria apocrina,3"
"L758","L00-L99,L60-L75,L75,,,Otros trastornos sudoríparos apocrinos,3"
"L759","L00-L99,L60-L75,L75,,,""Trastorno sudoríparo apocrino, no especificado"",3"
"L740","L00-L99,L60-L75,L74,,,Miliaria rubra,3"
"L741","L00-L99,L60-L75,L74,,,Miliaria cristalina,3"
"L742","L00-L99,L60-L75,L74,,,Miliaria profunda,3"
"L743","L00-L99,L60-L75,L74,,,""Miliaria, no especificada"",3"
"L744","L00-L99,L60-L75,L74,,,Anhidrosis,3"
"L748","L00-L99,L60-L75,L74,,,Otros trastornos sudoríparos ecrinos,3"
"L749","L00-L99,L60-L75,L74,,,""Trastorno sudoríparo ecrino, no especificado"",3"
"L730","L00-L99,L60-L75,L73,,,Acné queloide,3"
"L731","L00-L99,L60-L75,L73,,,Seudofoliculitis de la barba,3"
"L732","L00-L99,L60-L75,L73,,,Hidradenitis supurativa,3"
"L738","L00-L99,L60-L75,L73,,,Otros trastornos foliculares especificados,3"
"L739","L00-L99,L60-L75,L73,,,""Trastorno folicular, no especificado"",3"
"L720","L00-L99,L60-L75,L72,,,Quiste epidérmico,3"
"L721","L00-L99,L60-L75,L72,,,Quiste tricodérmico,3"
"L722","L00-L99,L60-L75,L72,,,Esteatocistoma múltiple,3"
"L728","L00-L99,L60-L75,L72,,,Otros quistes foliculares de la piel y del tejido subcutáneo,3"
"L729","L00-L99,L60-L75,L72,,,""Quiste folicular de la piel y del tejido subcutáneo, sin otra especificación"",3"
"E899","E00-E89,E70-E90,E89,,,""Trastorno endocrino y metabólico consecutivo a procedimientos, no especificado"",3"
"L710","L00-L99,L60-L75,L71,,,Dermatitis peribucal,3"
"L711","L00-L99,L60-L75,L71,,,Rinofima,3"
"L718","L00-L99,L60-L75,L71,,,Otras rosáceas,3"
"L719","L00-L99,L60-L75,L71,,,""Rosácea, no especificada"",3"
"E878","E00-E89,E70-E90,E87,,,""Otros trastornos del equilibrio de los electrólitos y de los líquidos, no clasificados en otra parte"",3"
"L990","L00-L99,L80-L99,L99,,,Amiloidosis de la piel (E85.–),3"
"L998","L00-L99,L80-L99,L99,,,Otros trastornos de la piel y del tejido subcutáneo en enfermedades clasificadas en otra parte,3"
"A481","A00-B99,A30-A49,A48,,,Enfermedad de los legionarios,3"
"A482","A00-B99,A30-A49,A48,,,Enfermedad de los legionarios no neumónica [fiebre de Pontiac],3"
"A483","A00-B99,A30-A49,A48,,,Síndrome del choque tóxico,3"
"A484","A00-B99,A30-A49,A48,,,Fiebre purpúrica brasileña,3"
"A488","A00-B99,A30-A49,A48,,,Otras enfermedades bacterianas especificadas,3"
"L980","L00-L99,L80-L99,L98,,,Granuloma piógeno,3"
"L981","L00-L99,L80-L99,L98,,,Dermatitis facticia,3"
"L982","L00-L99,L80-L99,L98,,,Dermatosis neutrófila febril [Sweet],3"
"L983","L00-L99,L80-L99,L98,,,Celulitis eosinófila [Wells],3"
"L984","L00-L99,L80-L99,L98,,,""Úlcera crónica de la piel, no clasificada en otra parte"",3"
"L985","L00-L99,L80-L99,L98,,,Mucinosis de la piel,3"
"L986","L00-L99,L80-L99,L98,,,Otros trastornos infiltrativos de la piel y del tejido subcutáneo,3"
"L988","L00-L99,L80-L99,L98,,,Otros trastornos especificados de la piel y del tejido subcutáneo,3"
"L989","L00-L99,L80-L99,L98,,,""Trastorno de la piel y del tejido subcutáneo, no especificado"",3"
"N398","N00-N99,N30-N39,N39,,,Otros trastornos especificados del sistema urinario,3"
"N399","N00-N99,N30-N39,N39,,,""Trastorno del sistema urinario, no especificado"",3"
"L950","L00-L99,L80-L99,L95,,,Vasculitis livedoide,3"
"L951","L00-L99,L80-L99,L95,,,Eritema elevatum diutinum,3"
"L958","L00-L99,L80-L99,L95,,,Otras vasculitis limitadas a la piel,3"
"L959","L00-L99,L80-L99,L95,,,""Vasculitis limitada a la piel, sin otra especificación"",3"
"N488","N00-N99,N40-N51,N48,,,Otros trastornos especificados del pene,3"
"N489","N00-N99,N40-N51,N48,,,""Trastorno del pene, no especificado"",3"
"L940","L00-L99,L80-L99,L94,,,Escleroderma localizado [morfea],3"
"L941","L00-L99,L80-L99,L94,,,Escleroderma lineal,3"
"L942","L00-L99,L80-L99,L94,,,Calcinosis de la piel,3"
"L943","L00-L99,L80-L99,L94,,,Esclerodactilia,3"
"L944","L00-L99,L80-L99,L94,,,Pápulas de Gottron,3"
"L945","L00-L99,L80-L99,L94,,,Poiquilodermia vascular atrófica,3"
"L946","L00-L99,L80-L99,L94,,,Ainhum,3"
"L930","L00-L99,L80-L99,L93,,,Lupus eritematoso discoide,3"
"L931","L00-L99,L80-L99,L93,,,Lupus eritematoso cutáneo subagudo,3"
"L932","L00-L99,L80-L99,L93,,,Otros lupus eritematosos localizados,3"
"L920","L00-L99,L80-L99,L92,,,Granuloma anular,3"
"L921","L00-L99,L80-L99,L92,,,""Necrobiosis lipídica, no clasificada en otra parte"",3"
"L922","L00-L99,L80-L99,L92,,,Granuloma facial [granuloma eosinófilo de la piel],3"
"L923","L00-L99,L80-L99,L92,,,Granuloma por cuerpo extraño en la piel y en el tejido subcutáneo,3"
"L928","L00-L99,L80-L99,L92,,,Otros trastornos granulomatosos de la piel y del tejido subcutáneo,3"
"L929","L00-L99,L80-L99,L92,,,""Trastorno granulomatoso de la piel y del tejido subcutáneo, no especificado"",3"
"J700","J00-J99,J60-J70,J70,,,Manifestaciones pulmonares agudas debidas a radiación,3"
"J701","J00-J99,J60-J70,J70,,,Manifestaciones pulmonares crónicas y otras manifestaciones debidas a radiación,3"
"J702","J00-J99,J60-J70,J70,,,Trastornos pulmonares intersticiales agudos inducidos por drogas,3"
"J703","J00-J99,J60-J70,J70,,,Trastornos pulmonares intersticiales crónicos inducidos por drogas,3"
"J704","J00-J99,J60-J70,J70,,,Trastornos pulmonares intersticiales no especificados inducidos por drogas,3"
"J708","J00-J99,J60-J70,J70,,,Afecciones respiratorias debidas a otros agentes externos especificados,3"
"J709","J00-J99,J60-J70,J70,,,Afecciones respiratorias debidas a agentes externos no especificados,3"
"J690","J00-J99,J60-J70,J69,,,Neumonitis debida a aspiración de alimento o vómito,3"
"J691","J00-J99,J60-J70,J69,,,Neumonitis debida a aspiración de aceites y esencias,3"
"J698","J00-J99,J60-J70,J69,,,Neumonitis debida a aspiración de otros sólidos y líquidos,3"
"J680","J00-J99,J60-J70,J68,,,""Bronquitis y neumonitis debidas a inhalación de gases, humos, vapores y sustancias químicas"",3"
"J681","J00-J99,J60-J70,J68,,,""Edema pulmonar debido a inhalación de gases, humos, vapores y sustancias químicas"",3"
"J682","J00-J99,J60-J70,J68,,,""Inflamación respiratoria superior debida a inhalación de gases, humos, vapores y sustancias químicas, no clasificadas en otra parte"",3"
"J683","J00-J99,J60-J70,J68,,,""Otras afecciones respiratorias agudas y subagudas debidas a inhalación de gases, humos, vapores y sustancias químicas"",3"
"J684","J00-J99,J60-J70,J68,,,""Afecciones respiratorias crónicas debidas a inhalación de gases, humos, vapores y sustancias químicas"",3"
"J688","J00-J99,J60-J70,J68,,,""Otras afecciones respiratorias debidas a inhalación de gases, humos, vapores y sustancias químicas"",3"
"J689","J00-J99,J60-J70,J68,,,""Afección respiratoria no especificada, debida a inhalación de gases, humos, vapores y sustancias químicas"",3"
"I470","I00-I99,I30-I52,I47,,,Arritmia por reentrada ventricular,3"
"I471","I00-I99,I30-I52,I47,,,Taquicardia supraventricular,3"
"I472","I00-I99,I30-I52,I47,,,Taquicardia ventricular,3"
"I479","I00-I99,I30-I52,I47,,,""Taquicardia paroxística, no especificada"",3"
"I460","I00-I99,I30-I52,I46,,,Paro cardíaco con resucitación exitosa,3"
"I461","I00-I99,I30-I52,I46,,,""Muerte cardíaca súbita, así descrita"",3"
"I469","I00-I99,I30-I52,I46,,,""Paro cardíaco, no especificado"",3"
"I450","I00-I99,I30-I52,I45,,,Bloqueo fascicular derecho,3"
"I451","I00-I99,I30-I52,I45,,,Otros tipos de bloqueo de rama derecha del haz y los no especificados,3"
"I452","I00-I99,I30-I52,I45,,,Bloqueo bifascicular,3"
"I453","I00-I99,I30-I52,I45,,,Bloqueo trifascicular,3"
"I454","I00-I99,I30-I52,I45,,,Bloqueo intraventricular no especificado,3"
"I455","I00-I99,I30-I52,I45,,,Otros tipos especificados de bloqueo del corazón,3"
"I456","I00-I99,I30-I52,I45,,,Síndrome de preexcitación,3"
"I458","I00-I99,I30-I52,I45,,,Otros trastornos especificados de la conducción,3"
"I459","I00-I99,I30-I52,I45,,,""Trastorno de la conducción, no especificado"",3"
"I440","I00-I99,I30-I52,I44,,,Bloqueo auriculoventricular de primer grado,3"
"I441","I00-I99,I30-I52,I44,,,Bloqueo auriculoventricular de segundo grado,3"
"I442","I00-I99,I30-I52,I44,,,Bloqueo auriculoventricular completo,3"
"I443","I00-I99,I30-I52,I44,,,Otros tipos de bloqueo auriculoventricular y los no especificados,3"
"I444","I00-I99,I30-I52,I44,,,Bloqueo fascicular anterior izquierdo,3"
"I445","I00-I99,I30-I52,I44,,,Bloqueo fascicular posterior izquierdo,3"
"I446","I00-I99,I30-I52,I44,,,Otros tipos de bloqueo fascicular y los no especificados,3"
"I447","I00-I99,I30-I52,I44,,,""Bloqueo de rama izquierda del haz, sin otra especificación"",3"
"I430","I00-I99,I30-I52,I43,,,Cardiomiopatía en enfermedades infecciosas y parasitarias clasificadas en otra parte,3"
"I431","I00-I99,I30-I52,I43,,,Cardiomiopatía en enfermedades metabólicas,3"
"I432","I00-I99,I30-I52,I43,,,Cardiomiopatía en enfermedades nutricionales,3"
"I438","I00-I99,I30-I52,I43,,,Cardiomiopatía en otras enfermedades clasificadas en otra parte,3"
"I420","I00-I99,I30-I52,I42,,,Cardiomiopatía dilatada,3"
"I421","I00-I99,I30-I52,I42,,,Cardiomiopatía hipertrófica obstructiva,3"
"I422","I00-I99,I30-I52,I42,,,Otras cardiomiopatías hipertróficas,3"
"I423","I00-I99,I30-I52,I42,,,Enfermedad endomiocárdica (eosinofílica),3"
"I424","I00-I99,I30-I52,I42,,,Fibroelastosis endocárdica Cardiomiopatía congénita,3"
"I425","I00-I99,I30-I52,I42,,,Otras cardiomiopatías restrictivas,3"
"I426","I00-I99,I30-I52,I42,,,Cardiomiopatía alcohólica,3"
"I427","I00-I99,I30-I52,I42,,,Cardiomiopatía debida a drogas y otros agentes externos,3"
"I428","I00-I99,I30-I52,I42,,,Otras cardiomiopatías,3"
"I410","I00-I99,I30-I52,I41,,,Miocarditis en enfermedades bacterianas clasificadas en otra parte,3"
"I411","I00-I99,I30-I52,I41,,,Miocarditis en enfermedades virales clasificadas en otra parte,3"
"I412","I00-I99,I30-I52,I41,,,Miocarditis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte,3"
"I418","I00-I99,I30-I52,I41,,,Miocarditis en otras enfermedades clasificadas en otra parte,3"
"I400","I00-I99,I30-I52,I40,,,Miocarditis infecciosa,3"
"I401","I00-I99,I30-I52,I40,,,Miocarditis aislada,3"
"I408","I00-I99,I30-I52,I40,,,Otras miocarditis agudas,3"
"I409","I00-I99,I30-I52,I40,,,""Miocarditis aguda, no especificada"",3"
"I390","I00-I99,I30-I52,I39,,,Trastornos de la válvula mitral en enfermedades clasificadas en otra parte,3"
"I391","I00-I99,I30-I52,I39,,,Trastornos de la válvula aórtica en enfermedades clasificadas en otra parte,3"
"I392","I00-I99,I30-I52,I39,,,Trastornos de la válvula tricúspide en enfermedades clasificadas en otra parte,3"
"I393","I00-I99,I30-I52,I39,,,Trastornos de la válvula pulmonar en enfermedades clasificadas en otra parte,3"
"I394","I00-I99,I30-I52,I39,,,Trastornos valvulares múltiples en enfermedades clasificadas en otra parte,3"
"I398","I00-I99,I30-I52,I39,,,""Endocarditis, válvula no especificada, en enfermedades clasificadas en otra parte"",3"
"N768","N00-N99,N70-N77,N76,,,Otras inflamaciones especificadas de la vagina y de la vulva,3"
"N908","N00-N99,N80-N98,N90,,,Otros trastornos no inflamatorios especificados de la vulva y del perineo,3"
"N909","N00-N99,N80-N98,N90,,,""Trastorno no inflamatorio de la vulva y del perineo, no especificado"",3"
"N897","N00-N99,N80-N98,N89,,,Hematocolpos,3"
"N898","N00-N99,N80-N98,N89,,,Otros trastornos especificados no inflamatorios de la vagina,3"
"N899","N00-N99,N80-N98,N89,,,""Trastorno no inflamatorio de la vagina, no especificado"",3"
"B258","A00-B99,B25-B34,B25,,,Otras enfermedades debidas a virus citomegálico,3"
"B259","A00-B99,B25-B34,B25,,,""Enfermedad por virus citomegálico, no especificada"",3"
"B447","A00-B99,B35-B49,B44,,,Aspergilosis diseminada,3"
"B448","A00-B99,B35-B49,B44,,,Otras formas de aspergilosis,3"
"B449","A00-B99,B35-B49,B44,,,""Aspergilosis, no especificada"",3"
"B438","A00-B99,B35-B49,B43,,,Otras formas de cromomicosis,3"
"B439","A00-B99,B35-B49,B43,,,""Cromomicosis, no especificada"",3"
"B408","A00-B99,B35-B49,B40,,,Otras formas de blastomicosis,3"
"B409","A00-B99,B35-B49,B40,,,""Blastomicosis, no especificada"",3"
"B394","A00-B99,B35-B49,B39,,,""Histoplasmosis debida a Histoplasma capsulatum, sin otra especificación"",3"
"B395","A00-B99,B35-B49,B39,,,Infección debida a Histoplasma duboisii,3"
"B399","A00-B99,B35-B49,B39,,,""Histoplasmosis, no especificada"",3"
"B387","A00-B99,B35-B49,B38,,,Coccidioidomicosis diseminada,3"
"B388","A00-B99,B35-B49,B38,,,Otras formas de coccidioidomicosis,3"
"B389","A00-B99,B35-B49,B38,,,""Coccidioidomicosis, no especificada"",3"
"B377","A00-B99,B35-B49,B37,,,Septicemia debida a candida,3"
"B378","A00-B99,B35-B49,B37,,,Candidiasis de otros sitios,3"
"B379","A00-B99,B35-B49,B37,,,""Candidiasis, no especificada"",3"
"B589","A00-B99,B50-B64,B58,,,""Toxoplasmosis, no especificada"",3"
"I520","I00-I99,I30-I52,I52,,,Otros trastornos cardíacos en enfermedades bacterianas clasificadas en otra parte,3"
"I521","I00-I99,I30-I52,I52,,,Otros trastornos cardíacos en otras enfermedades infecciosas y parasitarias clasificadas en otra parte,3"
"I528","I00-I99,I30-I52,I52,,,Otros trastornos cardíacos en otras enfermedades clasificadas en otra parte,3"
"I510","I00-I99,I30-I52,I51,,,""Defecto del tabique cardíaco, adquirido"",3"
"I511","I00-I99,I30-I52,I51,,,""Ruptura de cuerda tendinosa, no clasificada en otra parte"",3"
"I512","I00-I99,I30-I52,I51,,,""Ruptura de músculo papilar, no clasificada en otra parte"",3"
"I513","I00-I99,I30-I52,I51,,,""Trombosis intracardíaca, no clasificada en otra parte"",3"
"I514","I00-I99,I30-I52,I51,,,""Miocarditis, no especificada"",3"
"I515","I00-I99,I30-I52,I51,,,Degeneración miocárdica,3"
"I516","I00-I99,I30-I52,I51,,,""Enfermedad cardiovascular, no especificada"",3"
"I517","I00-I99,I30-I52,I51,,,Cardiomegalia,3"
"I518","I00-I99,I30-I52,I51,,,Otras enfermedades cardíacas mal definidas,3"
"I519","I00-I99,I30-I52,I51,,,""Enfermedad cardíaca, no especificada"",3"
"I500","I00-I99,I30-I52,I50,,,Insuficiencia cardíaca congestiva,3"
"I501","I00-I99,I30-I52,I50,,,Insuficiencia ventricular izquierda,3"
"I509","I00-I99,I30-I52,I50,,,""Insuficiencia cardíaca, no especificada"",3"
"I490","I00-I99,I30-I52,I49,,,Fibrilación y aleteo ventricular,3"
"I491","I00-I99,I30-I52,I49,,,Despolarización auricular prematura,3"
"I492","I00-I99,I30-I52,I49,,,Despolarización prematura nodal,3"
"I493","I00-I99,I30-I52,I49,,,Despolarización ventricular prematura,3"
"I494","I00-I99,I30-I52,I49,,,Otros tipos de despolarización prematura y los no especificados,3"
"I495","I00-I99,I30-I52,I49,,,Síndrome del seno enfermo,3"
"I498","I00-I99,I30-I52,I49,,,Otras arritmias cardíacas especificadas,3"
"I499","I00-I99,I30-I52,I49,,,""Arritmia cardíaca, no especificada"",3"
"T500","S00-T88,T36-T50,T50,,,Mineralocorticoides y sus antagonistas,3"
"T501","S00-T88,T36-T50,T50,,,Diuréticos del asa [dintel alto],3"
"T502","S00-T88,T36-T50,T50,,,""Inhibidores de la anhidrasa del ácido carbónico, benzotiazidas y otros diuréticos"",3"
"T503","S00-T88,T36-T50,T50,,,""Agentes del equilibrio hidrolítico, electrolítico y calórico"",3"
"T504","S00-T88,T36-T50,T50,,,Drogas que afectan el metabolismo del ácido úrico,3"
"T505","S00-T88,T36-T50,T50,,,Depresores del apetito,3"
